"dataset","title","description"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=E3C56889-BA4F-426B-A6D8-639696E003E5&elementSetName=full","Allgemeinverfügungen","Allgemeinverfügungen nach Naturschutzrecht Sachsen-Anhalt"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=44A7341F-68AD-4632-9A66-882AD049E103&elementSetName=full","3D-Gebäudemodelle LoD1 Sachsen-Anhalt","Das LoD1 (Level of Detail) ist ein dreidimensionales Gebäudemodell in der Realisierungsstufe 1. Die Gebäude werden als Klötzchen dreidimensional dargestellt. Die Dachform wird einheitlich als Flachdach abgebildet.
-Dieser Datensatz steht ausschließlich bei online-Abruf kostenfrei zur Verfügung.-"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=76FDEC18-1BCF-43BD-9791-956CB7DB1598&elementSetName=full","INSPIRE ST Orthofotografie ATKIS DOP20","INSPIRE-Datensatz zum Annex2-Thema Orthofotografie für das Bundesland Sachsen-Anhalt. Der Datensatz wurde aus den Daten der Digitalen Orthophotos mit der Bodenauflösung 20cm (DOP20) abgeleitet und INSPIRE-konform transformiert.
Dieser Datensatz steht ausschließlich bei online-Abruf kostenfrei zur Verfügung."
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=5BB67267-8EEE-46C0-B5F9-0BB7B78CA8A5&elementSetName=full","ATKIS-DGM5-Reliefschummerung Sachsen-Anhalt","Ein Digitales Geländemodell (DGM) ist ein digitales, numerisches Modell der Geländehöhen und -formen. Die DGM5-Reliefschummerung wird aus dem DGM1 mit einer Gitterweite von 1 m abgeleitet. In der Auflösung der DGM5-Reliefschummerung entspricht ein Pixel im Bild 25 m² auf der Erdoberfläche. Die (Grau-)Wertzuweisung für jeden Gitterpunkt erfolgt in Abhängigkeit von der Höhendifferenz benachbarter Gitterpunkte und durch Beleuchtung mit einer imaginären Lichtquelle aus Nordwesten. Durch die Flächentönung wird ein räumlicher Eindruck der relativen Höhenunterschiede des Geländes erzeugt. Das Schummerungsbild liefert keine Information über die absolute Höhe."
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=C04511DB-FE18-4C01-8CFF-1CD14A97A15A&elementSetName=full","WMS ST DTK100 Kostenfrei","Die digitalen Topographischen Karten werden als kostenfreier Web Map Service auf dem Gebiet von Sachsen-Anhalt dargestellt. Inhaltlich wird auf den Geodatensatz ATKIS DTK100 im Maßstab 1:100.000 zugegriffen."
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=0F930345-B656-4593-B2AB-A92A7AC2DB93&elementSetName=full","Digitales Oberflächenmodell (DOM2)","Das Digitale Oberflächenmodell (DOM) beschreibt im Gegensatz zum Digitalen Geländemodell - DGM nicht die Höhe des natürlichen Erdbodens (Gelände), sondern die Höhe der Oberfläche der auf der Erde befindlichen natürlichen und künstlichen Objekte (z. B. Vegetation, Gebäude, Fahrzeuge). Es handelt sich hierbei um ein auf einer Laserscanbefliegung basierendes Situationsmodell.
-Dieser Datensatz steht ausschließlich bei online-Abruf kostenfrei zur Verfügung.-"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=7E35B0EF-8D74-4371-9F78-7D05597A049A&elementSetName=full","ATKIS-DOP20  Sachsen-Anhalt","Digitale Orthophotos mit einer Bodenpixelgröße von 20x20cm² (ATKIS®-DOP20) werden aus Luftbildern der Befliegungen des Landes hergestellt. Dabei werden durch Umbildung die perspektivischen Verzerrungen der Luftbilder beseitigt und ein Bild mit Parallelprojektion erzeugt, welches einen über die ganze Bildfläche einheitlichen Maßstab hat. In den Orthophotos können somit Strecken und Flächen gemessen werden.
-Dieser Datensatz steht ausschließlich bei online-Abruf kostenfrei zur Verfügung.-"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=10AC06A4-BB09-46D6-9008-9D5A3A85638D&elementSetName=full","INSPIRE ST Gebäude LoD2","INSPIRE-Datensatz zum Annex3-Thema Gebäude für das Bundesland Sachsen-Anhalt. Der Datensatz wurde aus den Daten des dreidimensionalen Gebäudemodells (Level of Detail 2) abgeleitet und INSPIRE-konform transformiert. Die Gebäude werden als Klötzchen mit Standarddachformen dreidimensional dargestellt. Die Ausrichtung der Dachform erfolgt entsprechend des tatsächlichen Firstverlaufs.
Dieser Datensatz steht ausschließlich bei online-Abruf kostenfrei zur Verfügung."
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=7D25510E-D95E-4A27-90F9-0A2C732F7299&elementSetName=full","ATKIS-DTK50 Sachsen-Anhalt","Topographische Karten sind landschaftsbeschreibende Karten, die die Erdoberfläche in ihren verschiedenen Erscheinungsformen -Siedlungen, Verkehrswege, Grenzen, Gewässer, Geländeformen und Vegetation- in Abhängigkeit des Kartenmaßstabes anschaulich, möglichst vollständig und übersichtlich wiedergeben. Signaturen und Kartenschrift helfen, die topographischen Objekte zu erläutern. 
Die Topographische Karte im Maßstab 1:50 000 wird mit dem Verfahren ""Digital geführte Topographische Karte (ATKIS-DTK)"" auf Grundlage des Digitalen Landschaftsmodells 1:50 000 (ATKIS-DLM50) hergestellt. Sie entspricht den deutschlandweit geltenden Vorgaben für den Karteninhalt, die geodätische Grundlage, den Zeichenschlüssel und das Layout.
Die Aktualisierung erfolgt in periodischen Zyklen.
-Dieser Datensatz steht ausschließlich bei online-Abruf kostenfrei zur Verfügung.-"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=8CB20EA6-7B13-4D59-885D-002DCFFBE2DB&elementSetName=full","ATKIS-DTK25 Sachsen-Anhalt","Topographische Karten sind landschaftsbeschreibende Karten, die die Erdoberfläche in ihren verschiedenen Erscheinungsformen -Siedlungen, Verkehrswege, Grenzen, Gewässer, Geländeformen und Vegetation- in Abhängigkeit des Kartenmaßstabes anschaulich, möglichst vollständig und übersichtlich wiedergeben. Signaturen und Kartenschrift helfen, die topographischen Objekte zu erläutern.
Die Topographische Karte im Maßstab 1:25 000 wird mit dem Verfahren ""Digital geführte Topographische Karte (ATKIS-DTK)"" auf Grundlage des Digitalen Basis-Landschaftsmodells (Basis-DLM) hergestellt. Sie entspricht den deutschlandweit geltenden Vorgaben für den Karteninhalt, die geodätische Grundlage, den Zeichenschlüssel und das Layout.
Die Aktualisierung erfolgt in periodischen Zyklen.
-Dieser Datensatz steht ausschließlich bei online-Abruf kostenfrei zur Verfügung.-"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=8747BF8C-4CC0-4EA5-A9C1-C6996B07CE50&elementSetName=full","Digitales Oberflächenmodell (bDOM20)","Das bildbasierte DOM (bDOM) bildet, wie das DOM, die Erdoberfläche und die darauf befindlichen Objekte zum Zeitpunkt der Aufnahme der Luftbilder ab.
Das bDOM wird aus Punktwolken abgeleitet, die mittels Korrelation orientierter Luftbilder (OLB) aus dem geotopographischen Bildflug generiert werden. Dieses Verfahren bietet die Möglichkeit, Koordinatenpaare pixelweise zuzuordnen und mit Attributen wie z. B. den Farbwerten der Luftbilder (RGBI) zu versehen. Ein weiteres Attribut beschreibt, ob der Höhenwert eines Rasterelementes aus der Bildkorrelation berechnet oder interpoliert wurde und damit ein synthetisch erzeugter Punkt ist.
-Dieser Datensatz steht ausschließlich bei online-Abruf kostenfrei zur Verfügung.-"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=4D2501AB-6888-4B8A-A706-6B0755947B13&elementSetName=full","3D-Gebäudemodelle LoD2 Sachsen-Anhalt","Ein 3D-Gebäudemodell ist ein digitales, numerisches Oberflächenmodell der im AAA-Modell der AdV definierten Objektbereiche Gebäude und Bauwerke. Der Gebäudegrundriss wird grundsätzlich der amtlichen digitalen 
Liegenschaftskarte entnommen. Im LoD2(Level of Detail) werden den Gebäude standardisierte Dachformen zugeordnet und 
entsprechend dem tatsächlichen Firstverlauf ausgerichtet.
-Dieser Datensatz steht ausschließlich bei online-Abruf kostenfrei zur Verfügung.-"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=BA21B500-B307-4F84-8DDE-C2F2E81295C9&elementSetName=full","ATKIS-DGM10 Sachsen-Anhalt","Digitale Geländemodelle (DGM) sind digitale, numerische, auf ein regelmäßiges Gitter reduzierte Modelle der Geländehöhen und –formen der Erdoberfläche. Sie beinhalten keine Information über Bauwerke (z.B. Brücken) und Vegetation. Das DGM10 unterscheidet sich von den anderen DGM durch seine Höhengenauigkeit und seine  Gitterweite von 10m. Es wird regelmäßig aktualisiert.
-Dieser Datensatz steht ausschließlich bei online-Abruf kostenfrei zur Verfügung.-"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=506874E8-492D-4752-8B22-B3F2A0B7CB90&elementSetName=full","ATKIS-DGM5 Sachsen-Anhalt","Digitale Geländemodelle (DGM) sind digitale, numerische, auf ein regelmäßiges Gitter reduzierte Modelle der Geländehöhen und –formen der Erdoberfläche. Sie beinhalten keine Information über Bauwerke (z.B. Brücken) und Vegetation. Das DGM5 unterscheidet sich von den anderen DGM durch seine Höhengenauigkeit und seine Gitterweite von 5m. Es wird regelmäßig aktualisiert.
-Dieser Datensatz steht ausschließlich bei online-Abruf kostenfrei zur Verfügung.-"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=036445EE-D615-45D4-B897-8EEA26753108&elementSetName=full","ATKIS-DGM25 Sachsen-Anhalt","Ein Digitales Geländemodell (DGM) ist ein digitales, numerisches Modell der Geländehöhen und -formen. Das DGM25 hat eine Gitterweite von 25m. Es wird regelmäßig aktualisiert.
-Dieser Datensatz steht ausschließlich bei online-Abruf kostenfrei zur Verfügung.-"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=D5E4339F-1378-4A74-A3C2-24B95E57C670&elementSetName=full","ATKIS-DGM2 Sachsen-Anhalt","Digitale Geländemodelle (DGM) sind digitale, numerische, auf ein regelmäßiges Gitter reduzierte Modelle der Geländehöhen und –formen der Erdoberfläche. Sie beinhalten keine Information über Bauwerke (z.B. Brücken) und Vegetation. Das DGM2 unterscheidet sich von den anderen DGM durch seine Höhengenauigkeit und seine Gitterweite von 2m. Es wird regelmäßig aktualisiert.
-Dieser Datensatz steht ausschließlich bei online-Abruf kostenfrei zur Verfügung.-"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=EB12FB11-9545-4CB2-9292-B9DE59971BD9&elementSetName=full","INSPIRE ST Verwaltungseinheiten ATKIS Basis-DLM","INSPIRE-Datensatz zum Annex1-Thema Verwaltungseinheiten für das Bundesland Sachsen-Anhalt. Der Datensatz wurde aus den Daten des ATKIS Basis-DLM abgeleitet und INSPIRE-konform transformiert."
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=ECA2AB58-C787-44F9-A40F-1715D0989BBC&elementSetName=full","ATKIS-DTK100 Sachsen-Anhalt","Topographische Karten sind landschaftsbeschreibende Karten, die die Erdoberfläche in ihren verschiedenen Erscheinungsformen -Siedlungen, Verkehrswege, Grenzen, Gewässer, Geländeformen und Vegetation- in Abhängigkeit des Kartenmaßstabes anschaulich, möglichst vollständig und übersichtlich wiedergeben. Signaturen und Kartenschrift helfen, die topographischen Objekte zu erläutern. 
Die Topographische Karte im Maßstab 1:100 000 wird mit dem Verfahren ""Digital geführte Topographische Karte (ATKIS-DTK)"" auf Grundlage des Digitalen Landschaftsmodells 1:50 000 (ATKIS-DLM50) hergestellt. Sie entspricht den deutschlandweit geltenden Vorgaben für den Karteninhalt, die geodätische Grundlage, den Zeichenschlüssel und das Layout.
Die Aktualisierung erfolgt in periodischen Zyklen."
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=597E4AA9-F1DB-4ABD-A63E-C3EFD910ADA1&elementSetName=full","INSPIRE ST Bodenbedeckung ALKIS","INSPIRE-Datensatz zum Annex2-Thema Bodenbedeckung für das Bundesland Sachsen-Anhalt. Der Datensatz wurde aus den Daten des ALKIS abgeleitet und INSPIRE-konform transformiert.
-Dieser Datensatz steht ausschließlich bei online-Abruf kostenfrei zur Verfügung.-"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=E23BB313-2596-46BC-8D63-B140AE21A119&elementSetName=full","INSPIRE ST Höhe ATKIS DGM1","INSPIRE-Datensatz zum Annex2-Thema Höhe für das Bundesland Sachsen-Anhalt. Der Datensatz wurde aus den Daten des Digitalen Geländemodells mit Gitterweite 1m (DGM1) abgeleitet und INSPIRE-konform transformiert.
-Dieser Datensatz steht ausschließlich bei online-Abruf kostenfrei zur Verfügung.-"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=0AC18DE4-EF42-48F5-9329-94F7D2905177&elementSetName=full","INSPIRE ST Bodennutzung ALKIS","INSPIRE-Datensatz zum Annex3-Thema Bodennutzung für das Bundesland Sachsen-Anhalt. Der Datensatz wurde aus den Daten des ALKIS abgeleitet und INSPIRE-konform transformiert.
-Dieser Datensatz steht ausschließlich bei online-Abruf kostenfrei zur Verfügung.-"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=602B3C6E-46D2-4745-B8F1-84A6EB0D945F&elementSetName=full","INSPIRE ST Gebäude ALKIS","INSPIRE-Datensatz zum Annex3-Thema Gebäude für das Bundesland Sachsen-Anhalt. Der Datensatz wurde aus den Daten des ALKIS abgeleitet und INSPIRE-konform transformiert.
-Dieser Datensatz steht ausschließlich bei online-Abruf kostenfrei zur Verfügung.-"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=7AFF5BF1-1CA3-4168-9E66-016A00B1AD50&elementSetName=full","INSPIRE ST Geografische Bezeichnungen ALKIS","INSPIRE-Datensatz zum Annex1-Thema Geografische Bezeichnungen für das Bundesland Sachsen-Anhalt. Der Datensatz wurde aus den Daten des ALKIS abgeleitet und INSPIRE-konform transformiert.
-Dieser Datensatz steht ausschließlich bei online-Abruf kostenfrei zur Verfügung.-"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=68CE1672-B30F-461C-9C6B-201565B67378&elementSetName=full","INSPIRE ST Flurstücke/Grundstücke ALKIS","INSPIRE-Datensatz zum Annex1-Thema Flurstücke/Grundstücke für das Bundesland Sachsen-Anhalt. Der Datensatz wurde aus den Daten des ALKIS abgeleitet und INSPIRE-konform transformiert.
-Dieser Datensatz steht ausschließlich bei online-Abruf kostenfrei zur Verfügung.-"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=0670D8C9-71F5-4245-BB84-67485DC1D73D&elementSetName=full","INSPIRE ST Verkehrsnetze ATKIS Basis-DLM","INSPIRE-Datensatz zum Annex1-Thema Verkehrsnetze für das Bundesland Sachsen-Anhalt. Der Datensatz wurde aus den Daten des ATKIS Basis-DLM abgeleitet und INSPIRE-konform transformiert.
-Dieser Datensatz steht ausschließlich bei online-Abruf kostenfrei zur Verfügung.-"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=5B68E0C5-67F5-4D63-8B30-1097C851EAD8&elementSetName=full","INSPIRE ST Geografische Bezeichnungen ATKIS Basis-DLM","INSPIRE-Datensatz zum Annex1-Thema Geografische Bezeichnungen für das Bundesland Sachsen-Anhalt. Der Datensatz wurde aus den Daten des ATKIS Basis-DLM abgeleitet und INSPIRE-konform transformiert.
-Dieser Datensatz steht ausschließlich bei online-Abruf kostenfrei zur Verfügung.-"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=7CAD43B0-1B5D-4026-84FA-42A61BEBD334&elementSetName=full","INSPIRE ST Gewässernetz ATKIS Basis-DLM","INSPIRE-Datensatz zum Annex1-Thema Gewässernetz für das Bundesland Sachsen-Anhalt. Der Datensatz wurde aus den Daten des ATKIS Basis-DLM abgeleitet und INSPIRE-konform transformiert.
-Dieser Datensatz steht ausschließlich bei online-Abruf kostenfrei zur Verfügung.-"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=410EFCD9-37D9-4D6D-B7A3-09FCCEC9321C&elementSetName=full","WFS ST ALKIS Vereinfacht","Das Liegenschaftskataster wird in elektronischer Form im Amtlichen Liegenschaftskatasterinformationssystem (ALKIS) geführt. Der vorliegende Web Feature Service ermöglicht das gezielte Herunterladen von in ALKIS geführten GeoObjekten auf Basis einer Suchanfrage (Direktzugriffs-Downloaddienst). Der Dienst stellt ausschließlich folgende GeoObjekte beschränkt auf die wesentlichen Eigenschaften im Format eines vereinfachten Datenaustauschschemas bereit, das in dieser Produktspezifikation festgelegt ist: Flurstücke, Gebäude, Tatsächliche Nutzungen, Verwaltungseinheiten, Katasterbezirke. Der Dienst ist konzipiert zur Nutzung in einfachen praxisgängigen GIS-Clients ohne komplexe Funktionalitäten. Maßstab: 1:1000; Bodenauflösung: nullm; Scanauflösung (DPI): null"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=49AC4B99-0AC1-414B-B0AA-1AB66CE1F73B&elementSetName=full","ATKIS-DTK10 Sachsen-Anhalt","Topographische Karten sind landschaftsbeschreibende Karten, die die Erdoberfläche in ihren verschiedenen Erscheinungsformen -Siedlungen, Verkehrswege, Grenzen, Gewässer, Geländeformen und Vegetation- in Abhängigkeit des Kartenmaßstabes anschaulich, möglichst vollständig und übersichtlich wiedergeben. Signaturen und Kartenschrift helfen, die topographischen Objekte zu erläutern.
Die Topographische Karte im Maßstab 1:10 000 wird mit dem Verfahren ""Digital geführte Topographische Karte (ATKIS-DTK)"" auf Grundlage des Digitalen Basis-Landschaftsmodells (Basis-DLM) hergestellt. Sie entspricht den deutschlandweit geltenden Vorgaben für den Karteninhalt, die geodätische Grundlage, den Zeichenschlüssel und das Layout.
Die Aktualisierung erfolgt in periodischen Zyklen."
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=6C84BD2A-0ACC-4327-A8BB-3C5C32FA019D&elementSetName=full","ATKIS-DOP100 Sachsen-Anhalt (ATOM-Downloaddienst)","Die Digitalen Orthophotos werden mit einer Bodenpixelgröße 100x100cm² als ATOM-Downloaddienst in Form von Rasterkacheln bereitgestellt."
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=E7222818-65AB-4482-9850-73A4744C2BFE&elementSetName=full","ATKIS-Basis-DLM Sachsen-Anhalt","Die Digitalen Landschaftsmodelle (DLM) beschreiben die topographischen Objekte der Landschaft im Vektorformat objektstrukturiert, attributiert und mit einem einheitlichen Raumbezug. Die Daten werden zweidimensional modelliert, sind maßstabsfrei und besitzen keine Angaben zur grafischen Ausgestaltung. Das Digitale Basis-LandschaftsModell (ATKIS-Basis-DLM) Sachsen-Anhalt bildet zusammen mit dem dazugehörigen Digitalen Geländemodell (DGM) den Nachweis der Geotopographischen Landesaufnahme Sachsen-Anhalts. Der Umfang der im ATKIS-Basis-DLM in Sachsen-Anhalt geführten Objekte und Attributwerte wird im AAAA-ATKIS-LSA-Profil festgelegt. Aktualisierungen der Elemente des DLM werden in einem 3-Jahreszyklus eingearbeitet. Für ausgewählte Objekte erfolgt eine spitzenaktuelle Fortführung."
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=CCD3FA26-8C66-4712-9E4B-4760A9C5B9E8&elementSetName=full","INSPIRE-ATOM ST Höhe ATKIS DGM1","Dieser Dienst stellt für das INSPIRE-Thema Höhe aus DGM1 umgesetzte Daten im GML-Schema bereit."
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=0823AD52-9592-4B39-B91E-54F9131692E2&elementSetName=full","Flächenhafte Naturdenkmale","Schutzgebiete gem. §15 NatSchG LSA"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=3AD400FB-9AFA-4137-BBA3-2C877DD17100&elementSetName=full","Biosphärenreservate","Schutzgebiete gem. §20 NatSchG LSA"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=4FC5AEDD-AD45-472D-B80B-06F6E6166D10&elementSetName=full","Landschaftsschutzgebiete","Schutzgebiete gem. §15 NatSchG LSA"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=76EBA138-82CF-46C2-ABAE-7791C7FFD23F&elementSetName=full","Nationalparke","Schutzgebiete gem. §15 NatSchG LSA"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=A16D544B-6DB0-47EA-8285-C1BC2ED2F418&elementSetName=full","Naturschutzgebiete","Schutzgebiete gem. §15 NatSchG LSA"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=A5E15602-15BE-451A-9877-7BF8A1068D62&elementSetName=full","Naturparke","Schutzgebiete gem. §15 NatSchG LSA"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=F93CD5B6-F137-47B5-9EAE-7BCE6549E5F6&elementSetName=full","Geschützte Parke","Schutzgebiete gem. §59 NatSchG LSA vom 15.02.1992"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=BE8163A3-94DA-4131-98EB-D964C5A33673&elementSetName=full","Flächennaturdenkmale","Schutzgebiete gem. §59 NatSchG LSA vom 15.02.1992"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=FFCABD2C-6015-4AAA-AAE6-E32A2C2F24D5&elementSetName=full","Geschützte Landschaftsbestandteile","Schutzgebiete gem. §15 NatSchG LSA"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=F96357AE-7F22-42B5-8DB5-89C3C29FC760&elementSetName=full","Feuchtgebiete von internationaler Bedeutung","Schutzgebiete gem. Ramsar-Konvention"
